Student ID,Session 21/09/2023,Session 28/09/2023,Session 05/10/2023,Session 12/10/2023,Session 19/10/2023,Session 26/10/2023,Session 02/11/2023,Session 09/11/2023,Session 16/11/2023,Session 23/11/2023,Session 30/11/2023,Session 07/12/2023,Session 14/12/2023,Session 21/12/2023
0210192813,P (2/2),A (0/2),P (2/2),A (0/2),P (2/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0210424407,P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
021145823F,P (2/2),A (0/2),P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),P (2/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2)
021155815C,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2)
0211109443,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0211442503,P (2/2),A (0/2),P (2/2),P (2/2),P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
021153080D,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0200838753,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0210268500,P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0211428539,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2)
0211546145,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
021137093F,P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2)
021060141F,P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
021152110D,P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2)
021006922C,P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0210110646,P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2)
0210110444,P (2/2),A (0/2),P (2/2),A (0/2),P (2/2),A (0/2),P (2/2),P (2/2),P (2/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2)
0210242822,A (0/2),A (0/2),P (2/2),P (2/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0201395418,A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
021137204A,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0191241128,P (2/2),A (0/2),P (2/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),P (2/2),P (2/2),A (0/2),A (0/2),P (2/2),A (0/2)
0210208650,P (2/2),A (0/2),P (2/2),A (0/2),P (2/2),A (0/2),P (2/2),A (0/2),P (2/2),A (0/2),P (2/2),A (0/2),P (2/2),A (0/2)
023111691F,A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
021154835B,A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0210857849,P (2/2),A (0/2),P (2/2),P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0210490455,P (2/2),A (0/2),P (2/2),P (2/2),P (2/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
