Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"3/01/24, 19:44:53",0210192813,-,"Forum: Feedback, comments, questions, etc.",Forum,Discussion viewed,The user with id '22338' has viewed the discussion with id '118991' in the forum with course module id '226233'.,web,10.167.26.82
"1/01/24, 00:14:32",0210424407,-,Course: F1_BAINFOR-70 Web Development 2,System,Course viewed,The user with id '22388' viewed the course with id '5696'.,web,178.249.192.128
"31/12/23, 13:13:23",021145823F,-,Folder: Sample exams,Folder,Zip archive of folder downloaded,The user with id '23334' downloaded a zip archive containing all the files from the folder activity with course module id '335551'.,web,94.252.122.175
"31/12/23, 13:13:23",021145823F,-,Folder: Sample exams,Folder,Zip archive of folder downloaded,The user with id '23334' downloaded a zip archive containing all the files from the folder activity with course module id '335551'.,web,94.252.122.175
"31/12/23, 13:13:01",021145823F,-,Course: F1_BAINFOR-70 Web Development 2,System,Course viewed,The user with id '23334' viewed the course with id '5696'.,web,94.252.122.175
"28/12/23, 12:53:35",021155815C,-,Course: F1_BAINFOR-70 Web Development 2,System,Course viewed,The user with id '22995' viewed the course with id '5696'.,web,178.249.195.131
"28/12/23, 12:52:40",021155815C,-,Course: F1_BAINFOR-70 Web Development 2,System,Course viewed,The user with id '22995' viewed the course with id '5696'.,web,178.249.195.131
"27/12/23, 22:07:35",0211109443,-,Assignment: CA9: Coding standards,Assignment,The status of the submission has been viewed.,The user with id '24001' has viewed the submission status page for the assignment with course module id '333440'.,web,78.141.145.2
"27/12/23, 22:07:35",0211109443,-,Assignment: CA9: Coding standards,Assignment,Feedback viewed,The user with id '24001' viewed the feedback for the user with id '24001' for the assignment with course module id '333440'.,web,78.141.145.2
"27/12/23, 22:07:34",0211109443,-,Assignment: CA9: Coding standards,Assignment,Course module viewed,The user with id '24001' viewed the 'assign' activity with course module id '333440'.,web,78.141.145.2
"27/12/23, 22:07:29",0211109443,-,Course: F1_BAINFOR-70 Web Development 2,System,Course viewed,The user with id '24001' viewed the course with id '5696'.,web,78.141.145.2
"27/12/23, 22:04:05",0211109443,-,Assignment: CA9: Coding standards,Assignment,The status of the submission has been viewed.,The user with id '24001' has viewed the submission status page for the assignment with course module id '333440'.,web,78.141.145.2
"27/12/23, 22:04:05",0211109443,-,Assignment: CA9: Coding standards,Assignment,Feedback viewed,The user with id '24001' viewed the feedback for the user with id '24001' for the assignment with course module id '333440'.,web,78.141.145.2
"27/12/23, 22:04:05",0211109443,-,Assignment: CA9: Coding standards,Assignment,Course module viewed,The user with id '24001' viewed the 'assign' activity with course module id '333440'.,web,78.141.145.2
"27/12/23, 22:04:00",0211109443,-,Course: F1_BAINFOR-70 Web Development 2,System,Course viewed,The user with id '24001' viewed the course with id '5696'.,web,78.141.145.2
"27/12/23, 16:57:32",021155815C,-,Assignment: CA10: Self-reflection,Assignment,The status of the submission has been viewed.,The user with id '22995' has viewed the submission status page for the assignment with course module id '334898'.,web,178.249.195.131
